variable,effect,term,beta,se,CI_lower,CI_upper,p,n,group,p_fdr,p_bonf
SP,main_predictor,SP_c,-2.087816078,3.358680264,-8.670708431,4.495076275,0.536084296,92,sleep,,
SP,interaction,timepost,-28.84782609,3.405401128,-35.52228965,-22.17336252,6.0327E-11,92,sleep,1.40762E-10,7.23924E-10
SP,interaction,SP_c:timepost,2.432370036,3.424061,-4.278666205,9.143406277,0.481057284,92,sleep,0.776667466,1
NRS,main_predictor,NRS_c,2.466811096,3.22168092,-3.847567477,8.781189669,0.446180302,92,sleep,,
NRS,interaction,timepost,-28.84782609,3.423726073,-35.55820588,-22.13744629,7.02365E-11,92,sleep,1.40762E-10,8.42838E-10
NRS,interaction,NRS_c:timepost,-0.310755435,3.442486356,-7.05790471,6.43639384,0.928464079,92,sleep,0.969687865,1
apnea,main_predictor,apnea_c,-1.453701185,3.26528281,-7.853537892,4.946135521,0.657428009,92,sleep,,
apnea,interaction,timepost,-28.84782609,3.422321062,-35.55545211,-22.14020006,6.94257E-11,92,sleep,1.40762E-10,8.33109E-10
apnea,interaction,apnea_c:timepost,0.737492152,3.441073647,-6.006888264,7.481872568,0.831244486,92,sleep,0.969687865,1
sleepiness,main_predictor,sleepiness_c,3.382264987,3.226371974,-2.941307882,9.705837856,0.297758183,92,sleep,,
sleepiness,interaction,timepost,-28.84782609,3.408326646,-35.52802356,-22.16762861,6.18156E-11,92,sleep,1.40762E-10,7.41787E-10
sleepiness,interaction,sleepiness_c:timepost,-2.233696008,3.427002549,-8.950497578,4.483105562,0.517778311,92,sleep,0.776667466,1
KSQ_total,main_predictor,KSQ_total_c,1.045782461,3.28390318,-5.390549502,7.482114423,0.751006208,92,sleep,,
KSQ_total,interaction,timepost,-28.84782609,3.423974984,-35.55869374,-22.13695844,7.0381E-11,92,sleep,1.40762E-10,8.44572E-10
KSQ_total,interaction,KSQ_total_c:timepost,-0.131537119,3.442736631,-6.879176924,6.616102685,0.969687865,92,sleep,0.969687865,1
KSS_pre,main_predictor,KSS_pre_c,-0.147590102,3.173650178,-6.36783015,6.072649946,0.963025923,92,sleep,,
KSS_pre,interaction,timepost,-28.84782609,3.417024163,-35.54507038,-22.15058179,6.64475E-11,92,sleep,1.40762E-10,7.97369E-10
KSS_pre,interaction,KSS_pre_c:timepost,-1.492871103,3.435747724,-8.226812901,5.241070695,0.665948748,92,sleep,0.887931664,1
