sleep,brain,rho,p,p_bonf,p_fdr,p_fwe
apnea,Pallidum_02,-0.025485193,0.814744376,1,0.925356862,1
sleepiness,Pallidum_02,-0.123726595,0.253559458,1,0.727447444,1
KSQ_total,Pallidum_02,-0.185638714,0.085164492,1,0.727447444,1
KSS_pre,Pallidum_02,0.063820918,0.55702165,1,0.849891898,1
SP,Precuneus_02,-0.115176368,0.288101622,1,0.727447444,1
NRS,Precuneus_02,-0.297013433,0.00521209,0.594178215,0.531649519,0.594178215
apnea,Precuneus_02,0.101512623,0.349493861,1,0.728140465,1
sleepiness,Precuneus_02,-0.173336642,0.108368173,1,0.727447444,1
KSQ_total,Precuneus_02,-0.240204001,0.02502694,1,0.727447444,1
KSS_pre,Precuneus_02,-0.131350758,0.225244481,1,0.727447444,1
SP,Putamen_02,-0.107700473,0.32074641,1,0.727447444,1
NRS,Putamen_02,-0.105294203,0.331739867,1,0.727447444,1
apnea,Putamen_02,-0.043324829,0.690298955,1,0.916391781,1
sleepiness,Putamen_02,-0.034711418,0.749590103,1,0.916391781,1
KSQ_total,Putamen_02,-0.117375104,0.278935004,1,0.727447444,1
KSS_pre,Putamen_02,0.021841425,0.840854503,1,0.939778562,1
SP,Raphe_D_02,-0.170527273,0.114299999,1,0.727447444,1
NRS,Raphe_D_02,-0.1331818,0.218788276,1,0.727447444,1
apnea,Raphe_D_02,0.084019586,0.439098135,1,0.794558531,1
sleepiness,Raphe_D_02,-0.089134586,0.411644557,1,0.756894831,1
KSQ_total,Raphe_D_02,-0.170417342,0.114537115,1,0.727447444,1
KSS_pre,Raphe_D_02,0.018251556,0.866747829,1,0.95023682,1
SP,Raphe_M_02,-0.028878733,0.79060715,1,0.925356862,1
NRS,Raphe_M_02,-0.103903939,0.33819925,1,0.727447444,1
apnea,Raphe_M_02,0.089728269,0.408524248,1,0.756894831,1
sleepiness,Raphe_M_02,-0.024772875,0.819833711,1,0.925356862,1
KSQ_total,Raphe_M_02,-0.07997376,0.461525629,1,0.797180631,1
KSS_pre,Raphe_M_02,0.036063535,0.740175545,1,0.916391781,1
SP,Thalamus_02,-0.140147871,0.19542185,1,0.727447444,1
NRS,Thalamus_02,-0.155307119,0.150892058,1,0.727447444,1
apnea,Thalamus_02,-0.062907652,0.562690038,1,0.849891898,1
sleepiness,Thalamus_02,-0.115836384,0.285329277,1,0.727447444,1
KSQ_total,Thalamus_02,-0.176080896,0.102807614,1,0.727447444,1
KSS_pre,Thalamus_02,-0.056164972,0.605363495,1,0.849891898,1
SP,VTA_02,0.065581078,0.54617455,1,0.849891898,1
NRS,VTA_02,-0.142245955,0.188749969,1,0.727447444,1
apnea,VTA_02,0.027860413,0.79783058,1,0.925356862,1
sleepiness,VTA_02,-0.030706608,0.777685757,1,0.925356862,1
KSQ_total,VTA_02,-0.055240171,0.611325751,1,0.849891898,1
KSS_pre,VTA_02,0.006602796,0.951600797,1,0.96135549,1
